Amplitude,Spike Count,Area,Peak (uV),Trough (uV),PTratio,Duration (ms),Footprint
144,893,ACB,30.6,-113.3,0.3,0.63,44
205,157,ACB,55.7,-149.8,0.4,0.73,50
219,1982,ACB,56.8,-162,0.4,0.77,46
138,414,ACB,37.4,-100.1,0.4,0.63,41
91,2798,ACB,22.2,-69,0.3,0.8,24
370,90,ACB,96.3,-273.3,0.4,0.73,64
437,114,STR,114.4,-322.3,0.4,0.7,65
446,125,STR,108.1,-337.5,0.3,0.67,57
363,117,STR,96,-267.4,0.4,0.63,63
386,155,STR,96.8,-289.4,0.3,0.67,62
159,591,STR,45.6,-113.8,0.4,0.93,42
137,1238,STR,26.8,-109.8,0.2,0.57,20
100,848,STR,28.5,-71.4,0.4,0.67,35
146,3200,STR,54,-91.7,0.6,0.37,27
99,1021,STR,31.3,-67.8,0.5,0.63,45
77,1963,ACB,23.8,-53.7,0.4,0.73,30
103,364,ACB,33.1,-70.3,0.5,0.63,40
93,1477,ACB,22.7,-70.5,0.3,0.8,33
199,157,ACB,46.1,-153,0.3,0.73,79
441,275,ACB,115.7,-325.5,0.4,0.27,52
197,1672,ACB,43.1,-153.7,0.3,0.67,75
582,367,ACB,137.7,-443.8,0.3,0.23,62
597,1173,ACB,149,-448.1,0.3,0.23,60
573,85,ACB,136.3,-436.8,0.3,0.23,58
517,301,ACB,126.9,-390.3,0.3,0.27,53
192,148,ACB,45.1,-146.9,0.3,0.5,84
621,232,ACB,152,-469.2,0.3,0.2,59
162,251,ACB,36.5,-125.2,0.3,0.8,41
456,2234,ACB,103.3,-352.7,0.3,0.23,60
665,64,ACB,148.3,-516.6,0.3,0.23,59
109,3135,ACB,24.3,-85,0.3,0.97,37
551,272,ACB,134.2,-416.7,0.3,0.23,61
146,335,ACB,44.8,-101,0.4,0.63,48
78,357,ACB,24,-54.4,0.4,0.7,35
194,2001,ACB,57.9,-136.1,0.4,0.27,62
666,174,ACB,81,-584.8,0.1,0.73,51
707,117,ACB,83.3,-624.2,0.1,0.7,54
195,452,ACB,39.1,-155.4,0.3,0.67,42
655,74,ACB,78.1,-576.8,0.1,0.7,53
256,617,ACB,62.9,-193.2,0.3,0.63,54
101,575,ACB,32.3,-68.8,0.5,0.67,42
108,451,ACB,26.7,-81.4,0.3,0.83,34
70,1182,ACB,21.1,-48.6,0.4,0.53,36
129,492,ACB,39.4,-89.3,0.4,0.7,59
133,415,ACB,36.8,-95.9,0.4,0.7,49
113,359,ACB,31.7,-81,0.4,0.67,46
125,3227,ACB,38.8,-86.4,0.4,0.93,51
248,1782,ACB,42.3,-206,0.2,0.7,54
252,190,ACB,80.5,-171.3,0.5,0.53,50
381,7477,ACB,109.1,-271.6,0.4,0.5,57
434,1255,ACB,120.4,-313.3,0.4,0.5,59
308,74,ACB,89.4,-218.9,0.4,0.57,65
313,52,ACB,87,-226,0.4,0.53,67
220,119,ACB,78,-141.7,0.6,0.53,62
122,114,ACB,40.8,-80.9,0.5,0.77,34
460,3548,ACB,117.6,-342.7,0.3,0.33,47
372,188,ACB,96.7,-275.3,0.4,0.37,43
112,1360,ACB,36.4,-76.1,0.5,1.13,24
127,283,ACB,33.4,-93.7,0.4,0.73,37
168,212,ACB,43.8,-124.5,0.4,0.77,45
187,262,ACB,49.1,-138,0.4,0.67,43
225,309,ACB,47.4,-177.9,0.3,0.7,51
350,88,ACB,76.4,-273.8,0.3,0.27,62
191,475,ACB,40.1,-150.9,0.3,0.8,30
267,1103,ACB,62.8,-204.2,0.3,0.37,46
125,1148,ACB,34.1,-91.2,0.4,0.83,33
503,51,ACB,221.8,-281.1,0.8,0.27,54
572,1453,ACB,283.1,-289.2,1,0.27,42
233,1588,ACB,51.6,-181.4,0.3,0.67,51
316,1192,ACB,55.9,-260.3,0.2,0.4,62
126,501,ACB,32.6,-93.7,0.3,0.53,50
91,8953,ACB,21.9,-68.7,0.3,0.33,24
130,5440,ACB,38.7,-91.4,0.4,0.4,42
265,198,ACB,58.8,-206.3,0.3,0.53,51
223,280,ACB,54.2,-169.1,0.3,0.57,54
221,83,ACB,70.4,-150.3,0.5,0.63,60
309,89,ACB,100.8,-208,0.5,0.5,60
105,11989,ACB,38.1,-67.3,0.6,0.3,38
150,3358,ACB,51.2,-98.4,0.5,0.33,44
159,17015,ACB,54.2,-105.1,0.5,0.33,43
172,7764,ACB,81.5,-90.4,0.9,0.9,36
135,7681,ACB,52.2,-83.3,0.6,0.3,33
212,942,ACB,53.4,-158.5,0.3,0.63,66
127,15437,ACB,25.9,-101.3,0.3,0.2,11
82,3567,ACB,30.4,-52,0.6,0.17,6
322,5369,ACB,76,-246.1,0.3,0.6,40
156,16576,ACB,46.7,-109.1,0.4,0.9,46
143,20659,ACB,31.1,-111.8,0.3,0.3,11
373,741,ACB,68.9,-304.3,0.2,0.6,41
295,496,ACB,58.6,-236.8,0.2,0.6,39
217,26944,ACB,82.2,-134.7,0.6,0.4,81
93,10239,ACB,33.3,-60,0.6,0.83,33
72,1597,ACB,24.9,-46.9,0.5,0.83,20
109,4825,ACB,33.3,-75.4,0.4,0.3,34
82,617,ACB,24.1,-58,0.4,0.57,31
136,740,ACB,24.8,-110.9,0.2,0.5,38
152,770,VISa6a,50.3,-102,0.5,0.2,20
92,1666,cc,21.7,-70.7,0.3,0.17,12
127,3058,cc,24.8,-102.3,0.2,0.87,21
91,4716,cc,17.6,-73.5,0.2,0.57,19
95,1682,cc,20.9,-74.2,0.3,0.2,12
91,200,cc,23.7,-66.9,0.4,0.6,21
98,2523,CA1,66.7,-31.3,2.1,-2.7,0
147,9638,DG-mo,33.2,-113.5,0.3,0.63,47
68,4394,DG-mo,23,-45.2,0.5,0.23,33
48,1274,DG-mo,14,-34.4,0.4,0.33,25
59,2134,DG-mo,15.5,-43.8,0.4,0.7,49
140,1024,DG-mo,31.5,-108.7,0.3,0.77,54
266,8394,DG-mo,101.5,-164.8,0.6,0.17,73
145,4255,DG-mo,31.6,-113.8,0.3,0.73,51
233,108,DG-mo,40.5,-192.5,0.2,1.27,68
166,258,DG-mo,39,-126.9,0.3,0.87,83
87,1640,DG-mo,63.4,-24.1,2.6,1,12
59,2543,DG-mo,36.4,-22.3,1.6,1.03,12
75,609,DG-sg,49,-26.3,1.9,0.73,30
107,4313,DG-po,23.8,-82.9,0.3,0.5,40
434,2124,LP,96.8,-337,0.3,0.7,70
172,2578,LP,57.5,-114.9,0.5,0.73,70
261,3926,LP,73.8,-186.8,0.4,1,65
89,8780,LP,18.3,-70.6,0.3,0.97,34
327,14579,LP,96.4,-230.3,0.4,0.47,77
400,943,LP,99.5,-300.5,0.3,0.47,27
815,139,LP,197.1,-617.5,0.3,0.33,45
927,382,LP,219.2,-707.4,0.3,0.37,44
606,296,LP,112.6,-493.1,0.2,0.67,68
195,313,LP,124.8,-70.5,1.8,0.9,40
149,583,LP,43.6,-105.1,0.4,1.03,36
464,196,LP,95.4,-369,0.3,0.37,50
762,274,LP,128.2,-633.3,0.2,0.63,68
140,2527,LP,26.9,-113.2,0.2,1.17,41
132,3046,LP,33.3,-99.1,0.3,0.77,42
160,430,LP,30.8,-129.4,0.2,0.6,18
271,322,LP,71.5,-199.1,0.4,0.6,51
77,310,LP,15.9,-61.2,0.3,0.8,43
133,856,LP,33.6,-99.2,0.3,0.7,37
72,354,LP,15,-57.2,0.3,1.3,20
86,279,LP,16.9,-69.2,0.2,1.3,30
114,1124,LP,27.3,-86.3,0.3,1.1,41
180,2014,LP,41,-138.7,0.3,0.93,59
352,558,LP,84.9,-267.4,0.3,0.83,64
177,640,LP,53.9,-123.5,0.4,0.67,53
495,162,LP,120.7,-374.3,0.3,0.77,70
171,7458,LP,70.7,-100.6,0.7,0.67,86
85,1676,LP,49.7,-34.8,1.4,0.53,21
480,2086,LP,106.5,-373.4,0.3,0.57,76
348,4004,LP,81.1,-266.7,0.3,0.67,80
300,9627,LP,103,-197.2,0.5,0.33,67
89,668,LP,79.6,-9.7,8.2,-2.7,0
141,494,LP,38.5,-102.4,0.4,0.87,53
153,295,PO,47,-105.5,0.4,0.37,49
413,2474,PO,76.9,-335.8,0.2,0.2,21
155,381,PO,41.9,-113.5,0.4,0.47,38
281,3366,PO,55.5,-225.5,0.2,0.17,26
833,141,PO,246.6,-586.1,0.4,0.43,75
830,189,PO,242.4,-587.4,0.4,0.43,72
222,89,PO,36.3,-186,0.2,0.17,25
818,224,PO,244.7,-573.6,0.4,0.47,85
725,888,PO,211.8,-512.8,0.4,0.43,74
277,5724,PO,94.9,-181.9,0.5,0.83,52
391,2949,PO,146.3,-244.7,0.6,0.43,64
333,62,PO,116.3,-216.2,0.5,0.43,61
232,320,PO,74.7,-157,0.5,0.5,55
218,5875,PO,85.2,-133.2,0.6,0.53,58
233,4848,PO,49.5,-183.7,0.3,0.7,39
811,305,PO,250.2,-560.3,0.4,0.37,59
752,685,PO,228.3,-524.1,0.4,0.37,58
470,1611,PO,121.8,-348.2,0.3,0.67,45
237,2497,PO,99.7,-137.6,0.7,0.47,53
342,211,PO,105.8,-235.8,0.4,0.47,51
191,342,PO,37.7,-153.3,0.2,0.17,29
271,417,PO,81.7,-188.8,0.4,0.53,50
284,4737,PO,92.6,-191.4,0.5,0.8,57
772,625,PO,240.9,-531.2,0.5,0.4,55
281,450,PO,86.6,-194.5,0.4,0.43,57
123,593,PO,41.3,-81.8,0.5,0.43,37
189,331,PO,63.4,-125.7,0.5,0.63,47
193,350,PO,59.6,-133.2,0.4,0.43,40
203,371,PO,61.8,-140.9,0.4,0.4,49
239,822,PO,69.8,-169.7,0.4,0.37,49
169,2428,PO,62.9,-106.3,0.6,0.5,44
763,321,PO,230.6,-532.6,0.4,0.37,56
270,3730,PO,77.3,-193,0.4,0.57,44
130,603,VPM,43.9,-86.5,0.5,0.5,47
457,1201,VPM,120.3,-336.3,0.4,0.5,56
120,1560,PO,46.2,-73.4,0.6,0.5,34
192,427,PO,67.5,-124.7,0.5,0.37,63
97,422,PO,31.5,-65.6,0.5,0.4,50
150,2212,PO,33.5,-116.5,0.3,0.3,14
297,1864,PO,100.2,-197,0.5,0.5,56
181,11256,PO,49.9,-130.8,0.4,1.1,35
341,524,PO,103.7,-237.3,0.4,0.43,57
168,2132,PO,65.4,-102.4,0.6,0.57,57
371,897,PO,108.8,-262,0.4,0.43,45
251,2489,PO,62.1,-188.9,0.3,0.43,55
157,304,PO,47.8,-109.5,0.4,0.47,55
310,571,PO,97.6,-212.8,0.5,0.43,66
291,94,PO,78.8,-212.4,0.4,0.47,52
113,10023,PO,36.7,-75.8,0.5,0.57,29
171,1218,PO,50.2,-121,0.4,0.47,40
313,2784,PO,89.8,-222.7,0.4,0.43,48
236,1710,PO,72.9,-163.5,0.4,0.37,49
220,1606,PO,72.5,-147.5,0.5,0.4,47
142,471,PO,48.1,-93.7,0.5,0.43,47
148,513,PO,44.7,-103.1,0.4,0.43,52
208,792,PO,68.3,-139.7,0.5,0.4,62
192,372,PO,61.9,-130.5,0.5,0.4,58
101,670,PO,30,-71.3,0.4,0.47,35
124,2173,PO,43.3,-81,0.5,0.43,38
142,1662,PO,49.8,-91.8,0.5,0.43,64
220,302,PO,72.1,-147.8,0.5,0.43,50
91,347,PO,26.4,-64.7,0.4,0.6,54
145,657,PO,41.4,-103.1,0.4,0.53,42
384,260,VPM,114.1,-269.9,0.4,0.43,61
475,1098,VPM,150.1,-324.9,0.5,0.43,51
221,70,VPM,64.1,-157.3,0.4,0.27,54
527,1189,VPM,163.2,-363.8,0.4,0.37,66
440,136,VPM,135.4,-304.9,0.4,0.33,75
198,4458,VPM,42.8,-155.1,0.3,0.77,29
473,578,VPM,140.1,-333.2,0.4,0.33,82
466,2845,VPM,147.9,-318.3,0.5,0.4,67
280,5632,VPM,78.2,-202.2,0.4,0.7,34
406,1038,VPM,125.1,-281.2,0.4,0.37,71
90,3350,VPM,24.3,-66.1,0.4,0.37,24
387,90,VPM,109.7,-277.5,0.4,0.43,72
217,900,VPM,79.4,-137.3,0.6,0.4,55
787,345,VPM,214.5,-572.4,0.4,0.47,72
340,193,VPM,109.5,-230.1,0.5,0.53,47
712,449,VPM,200.3,-511.4,0.4,0.47,69
649,203,VPM,177.5,-471.1,0.4,0.43,68
302,5509,VPM,96.8,-204.9,0.5,0.5,53
728,152,VPM,201.9,-526.6,0.4,0.43,68
731,170,VPM,196.9,-533.9,0.4,0.43,70
816,156,VPM,244.4,-571.2,0.4,0.4,65
290,382,VPM,98.7,-191.2,0.5,0.5,61
903,114,VPM,259,-643.7,0.4,0.43,65
270,907,VPM,97.1,-172.7,0.6,0.47,64
71,16552,VPM,19.2,-51.6,0.4,0.73,26
268,304,VPM,96.9,-170.9,0.6,0.5,56
145,168,VPM,45.8,-99.1,0.5,0.4,56
219,531,VPM,68,-150.6,0.5,0.5,44
219,604,VPM,62.4,-156.6,0.4,0.43,49
209,3976,VPM,64,-144.8,0.4,0.47,55
202,697,VPM,64.9,-136.7,0.5,0.43,45
204,906,VPM,70,-134.3,0.5,0.37,60
206,708,VPM,67.2,-138.6,0.5,0.43,48
350,156,VPM,114.1,-235.6,0.5,0.43,61
520,721,VPM,161.9,-358.5,0.5,0.47,73
493,1372,VPM,158.8,-334.7,0.5,0.43,69
252,353,VPM,74.8,-176.7,0.4,0.27,44
183,302,VPM,53.8,-129.5,0.4,0.3,38
445,590,VPM,131.5,-313.4,0.4,0.4,49
254,621,VPM,90.3,-163.5,0.6,0.47,60
163,355,VPM,56.4,-106.1,0.5,0.47,57
167,1830,VPM,51.5,-115.2,0.4,0.47,57
104,303,VPM,30.5,-73.4,0.4,0.47,43
146,717,VPM,38.9,-107.2,0.4,0.63,41
250,57,VPM,80.3,-169.8,0.5,0.3,37
852,726,VPM,238.5,-613.1,0.4,0.33,66
199,2523,VPM,52.5,-146.5,0.4,0.57,43
860,717,VPM,234.6,-625,0.4,0.33,67
116,3283,VPM,66.9,-48.9,1.4,0.9,26
140,6522,VPM,22.3,-117.7,0.2,0.43,30
363,268,VPM,104.4,-258.7,0.4,0.7,40
347,10430,VPM,108.3,-238.8,0.5,0.63,46
404,777,VPM,118.8,-285,0.4,0.27,59
266,1082,VPM,78.2,-188.2,0.4,0.3,57
134,3323,VPM,50.7,-83.7,0.6,0.57,36
559,144,VPM,176.9,-381.7,0.5,0.27,56
152,668,VPM,61.7,-90.5,0.7,0.37,69
409,2768,VPM,121.6,-287.8,0.4,0.33,48
278,812,VPM,101,-176.8,0.6,0.33,50
516,184,VPM,167,-348.7,0.5,0.27,52
233,966,VPM,68.3,-164.9,0.4,0.23,38
181,1538,VPM,64.3,-116.5,0.6,0.27,43
182,655,VPM,59.6,-122.1,0.5,0.2,45
184,9590,VPM,51,-132.9,0.4,0.7,30
113,1749,VPM,71.9,-41.5,1.7,0.2,29
210,485,VPM,74.8,-134.8,0.6,0.33,53
143,626,VPM,37,-106.1,0.3,0.4,31
371,319,VPM,112.7,-257.8,0.4,0.27,57
194,716,VPM,77.5,-116.7,0.7,0.37,72
93,5941,VPM,61.2,-31.4,1.9,0.67,6
445,1902,VPM,154.3,-290.8,0.5,0.33,51
347,3507,VPM,104.9,-242.4,0.4,0.43,50
164,237,VPM,119.8,-44,2.7,0.4,16
149,6698,VPM,46.2,-102.4,0.5,0.37,39
707,442,VPM,205.5,-502,0.4,0.3,61
688,232,VPM,212.2,-476.2,0.4,0.3,63
1226,96,VPM,411.6,-814.7,0.5,0.43,52
996,63,VPM,335.3,-660.5,0.5,0.43,49
1490,1303,VPM,494,-995.5,0.5,0.4,56
1268,843,VPM,442.1,-825.6,0.5,0.4,57
1300,2243,VPM,443,-857.2,0.5,0.37,57
1468,215,VPM,479.8,-988.3,0.5,0.4,59
145,3597,VPM,50.5,-94,0.5,0.37,52
1524,829,VPM,458,-1066.4,0.4,0.37,60
1226,736,VPM,383.8,-842.7,0.5,0.37,55
144,789,VPM,47.4,-96.9,0.5,0.3,53
987,100,VPM,307.8,-679.6,0.5,0.33,63
133,4576,VPM,15.6,-117.2,0.1,0.17,49
291,5282,VPM,93.1,-198.1,0.5,0.27,50
246,227,VPM,78.3,-167.2,0.5,0.4,59
1469,346,VPM,376.7,-1092.3,0.3,0.4,69
158,432,VPM,16.8,-140.9,0.1,0.3,51
197,6032,VPM,58.7,-138.3,0.4,0.37,51
190,1903,VPM,57.3,-132.9,0.4,0.3,49
167,951,VPM,36.3,-130.8,0.3,0.17,35
112,3065,VPM,23.3,-88.4,0.3,0.67,53
239,3783,VPM,63.3,-176.1,0.4,0.47,72
164,728,VPM,27.9,-136.1,0.2,0.23,7
250,2450,VPM,82.4,-167.9,0.5,0.5,53
93,9997,VPM,24.8,-68,0.4,0.2,10
851,71,VPM,223.8,-627,0.4,0.47,67
740,153,VPM,177.7,-562,0.3,0.47,63
216,210,VPM,63.3,-152.8,0.4,0.47,46
938,61,VPM,245.5,-692.9,0.4,0.53,68
874,1119,VPM,224.8,-648.7,0.3,0.4,59
805,2064,VPM,207.9,-596.7,0.3,0.47,57
432,1453,VPM,140.7,-291,0.5,0.43,45
575,115,VPM,167.4,-408,0.4,0.37,65
534,6784,VPM,150.8,-382.8,0.4,0.37,59
258,5440,VPM,95.2,-162.9,0.6,0.3,49
268,1720,VPM,71.7,-196,0.4,0.37,55
1565,165,VPM,445.8,-1119.5,0.4,0.3,61
1549,180,VPM,390.1,-1159,0.3,0.33,64
1740,88,VPM,547.6,-1192.6,0.5,0.37,60
1702,84,VPM,532.7,-1169.2,0.5,0.33,62
1733,81,VPM,542,-1190.6,0.5,0.43,59
1809,74,VPM,575.9,-1233.1,0.5,0.43,61
1653,372,VPM,479.9,-1173.6,0.4,0.27,71
453,487,VPM,130.5,-322.3,0.4,0.43,60
790,1298,VPM,239.1,-550.6,0.4,0.27,58
425,254,VPM,115.9,-308.9,0.4,0.43,53
222,2212,VPM,58.4,-163.9,0.4,0.37,59
833,643,VPM,253.6,-579.2,0.4,0.3,60
409,283,VPM,98.2,-311,0.3,0.47,55
78,10033,VPM,25.5,-52.2,0.5,0.53,27
490,6281,VPM,131.3,-358.5,0.4,0.47,62
207,2821,VPM,69.2,-137.4,0.5,0.3,39
340,344,VPM,102.4,-237.7,0.4,0.37,44
206,505,VPM,57.8,-148.1,0.4,0.33,49
114,9302,VPM,23.9,-89.9,0.3,0.2,42
228,696,VPM,71.8,-156.5,0.5,0.37,53
227,1762,VPM,72.4,-154.4,0.5,0.33,55
343,1571,VPM,111.7,-231.4,0.5,0.4,66
346,407,VPM,115.8,-230.2,0.5,0.37,38
157,540,VPM,43.7,-113.2,0.4,0.4,40
244,4024,VPM,68,-175.9,0.4,0.3,41
165,876,VPM,49.8,-114.8,0.4,0.33,56
177,359,VPM,54,-122.7,0.4,0.33,56
133,785,VPM,39.9,-93.2,0.4,0.37,38
637,316,VPL,181.2,-455.6,0.4,0.4,60
196,32202,VPL,53.3,-143,0.4,0.17,20
186,34067,VPL,58.5,-127.5,0.5,0.23,18
671,717,VPL,196.9,-474.3,0.4,0.37,79
224,304,VPL,35.8,-187.8,0.2,0.13,29
183,36201,VPL,45.6,-137.8,0.3,0.53,56
720,2198,VPL,227.1,-493,0.5,0.33,73
207,1605,VPL,61.9,-144.9,0.4,0.47,54
220,9898,VPL,42.1,-177.4,0.2,0.17,26
379,8955,VPL,120.9,-258.1,0.5,0.57,61
252,36033,VPL,42.2,-209.5,0.2,0.17,37
264,3582,VPL,92.9,-170.8,0.5,0.43,66
311,375,VPL,52.1,-259.3,0.2,0.2,35
1453,817,VPL,464.4,-988.6,0.5,0.43,61
1247,2100,VPL,392.3,-855.1,0.5,0.4,60
393,22893,VPL,126.4,-266.8,0.5,0.43,55
168,21178,VPL,36.2,-131.7,0.3,0.2,22
119,17270,VPL,40.1,-79.3,0.5,0.33,32
90,29127,VPL,28.3,-61.8,0.5,0.83,31
1539,1366,VPL,456.3,-1082.9,0.4,0.4,59
1551,1356,VPL,469,-1081.6,0.4,0.43,60
1344,1270,VPL,416.4,-927.3,0.4,0.4,59
1608,606,VPL,484.7,-1122.8,0.4,0.4,58
1612,232,VPL,482.4,-1130,0.4,0.43,58
146,28989,VPL,47,-98.7,0.5,0.7,35
236,6755,VPL,75.6,-160.5,0.5,0.37,65
389,3598,VPL,126,-263.5,0.5,0.4,58
518,4363,VPL,167.8,-350.2,0.5,0.37,71
151,1217,VPL,25.1,-125.8,0.2,0.23,14
294,3510,VPL,93.1,-200.6,0.5,0.3,60
150,455,VPL,45.4,-104.4,0.4,0.23,12
660,177,VPL,207.6,-452.4,0.5,0.33,70
247,886,VPL,89.1,-157.8,0.6,0.2,18
127,3727,VPL,27.4,-99.7,0.3,0.2,10
130,400,VPL,26.4,-103.5,0.3,0.27,12
146,796,VPL,103.9,-41.6,2.5,0.3,7
245,546,VPL,89.1,-155.4,0.6,0.2,16
195,1015,VPL,51.9,-143.5,0.4,0.23,12
144,1819,VPL,116.9,-27.2,4.3,0.3,13
280,1315,VPL,102.4,-177.2,0.6,0.2,16
293,1294,VPL,103.7,-189.7,0.5,0.2,15
103,2952,VPL,69.8,-33,2.1,0.33,10
344,5436,VPL,107.7,-236.5,0.5,0.4,64
143,893,VPL,109.2,-34,3.2,0.23,12
183,573,VPL,42.9,-140.4,0.3,0.37,20
222,967,VPL,45.9,-176.4,0.3,0.37,20
442,4891,VPL,133.7,-308.3,0.4,0.37,69
117,1550,VPL,85.6,-31.6,2.7,0.27,13
465,3035,VPL,154.4,-310.3,0.5,0.37,67
123,4784,VPL,88,-35.4,2.5,0.23,11
142,551,VPL,116.7,-25.7,4.5,0.23,13
340,567,VPL,276,-64.3,4.3,0.9,8
162,87,VPL,119.3,-43.2,2.8,0.2,13
188,391,VPL,46.8,-140.7,0.3,0.2,15
325,18890,VPL,91.4,-233.3,0.4,0.37,65
104,3763,VPM,19.5,-84.3,0.2,0.23,14
274,15062,VPM,81.3,-192.3,0.4,0.3,55
326,6061,VPM,90.3,-236,0.4,0.33,44
572,6092,VPM,188.6,-383.6,0.5,0.37,60
399,2961,VPM,130.8,-268.6,0.5,0.37,66
438,81,VPM,147.8,-289.8,0.5,0.37,64
284,1545,VPM,83.8,-200.4,0.4,0.33,55
203,12160,VPM,72.2,-131.1,0.6,0.17,52
160,12243,VPM,48.4,-111.3,0.4,0.43,51
115,8051,VPL,24.4,-90.9,0.3,0.2,26
180,320,VPL,65.5,-114.6,0.6,0.53,39
181,596,VPL,45.1,-136,0.3,0.33,37
199,301,VPL,46.8,-151.7,0.3,0.37,46
109,1060,VPL,85.1,-24.3,3.5,0.17,8
162,751,VPL,44.7,-117.4,0.4,0.23,12
217,3304,VPL,70.9,-146.4,0.5,0.43,59
141,8461,VPL,46.9,-93.8,0.5,0.37,41
188,577,VPL,143,-45.2,3.2,0.77,7
107,6089,VPM,36.1,-70.9,0.5,0.37,52
199,640,VPM,54.5,-144.9,0.4,0.33,47
202,563,VPL,63.9,-137.9,0.5,0.4,56
193,720,VPL,62.9,-130.4,0.5,0.3,66
466,164,VPM,158.8,-307.2,0.5,0.37,65
744,496,VPL,249.9,-494.6,0.5,0.43,54
166,343,VPL,28.8,-136.8,0.2,0.27,10
208,3905,VPL,30.3,-178.1,0.2,0.3,10
203,27220,VPM,77.2,-126.2,0.6,0.17,44
218,987,VPL,33.6,-184.3,0.2,0.2,15
175,8843,VPM,59,-116.3,0.5,0.37,53
141,558,MOs2/3,37.5,-103.9,0.4,0.77,30
335,222,MOs2/3,65.5,-269.6,0.2,0.3,41
106,1182,MOs2/3,30.6,-75.6,0.4,1,29
227,1001,MOs2/3,53,-174.2,0.3,0.5,38
320,723,MOs2/3,95.9,-224.2,0.4,0.9,43
100,317,MOs2/3,25.7,-74.5,0.3,0.3,25
109,376,MOs2/3,33.1,-76.3,0.4,0.53,30
117,674,MOs2/3,31.6,-85.8,0.4,0.83,40
88,1057,MOs5,27.5,-60.3,0.5,0.3,32
104,179,MOs5,25.2,-79.2,0.3,0.23,23
156,2437,MOs5,59.7,-96,0.6,0.37,39
168,226,MOs2/3,55.9,-112.5,0.5,0.63,73
84,672,MOs2/3,38.7,-45.3,0.9,0.33,14
49,624,MOs2/3,21,-28.1,0.7,0.77,8
43,510,MOs2/3,15.2,-27.6,0.6,0.8,7
87,568,MOs2/3,39.4,-47.6,0.8,0.73,14
131,163,MOs5,31.5,-99.8,0.3,0.6,37
86,1025,MOs5,17.7,-68.2,0.3,1.03,32
106,642,MOs5,27.1,-79.1,0.3,0.27,41
103,342,MOs5,34.5,-68.3,0.5,0.57,33
98,841,MOp5,24.8,-73.5,0.3,0.97,59
95,160,MOp5,18.8,-76.3,0.2,0.57,47
86,731,MOs5,29.9,-56.4,0.5,0.73,38
83,893,MOs5,21,-62.2,0.3,0.87,41
172,1294,MOs5,55.8,-116.5,0.5,0.87,38
46,430,MOp5,15.1,-30.5,0.5,0.83,9
93,889,MOp5,23,-70,0.3,0.63,32
93,306,MOs5,31.1,-61.6,0.5,0.33,24
57,735,MOs5,17.9,-39.2,0.5,0.57,14
127,127,MOp6a,40.6,-86.2,0.5,0.87,46
152,117,MOp6a,39.1,-112.9,0.3,0.7,48
275,116,MOp6a,53,-222.4,0.2,0.9,41
171,1978,MOp6a,48.7,-122.8,0.4,0.87,46
156,1801,MOp6a,31.6,-124.3,0.3,0.63,43
148,546,MOp5,52.8,-94.9,0.6,0.27,38
203,227,MOp5,42.6,-160.8,0.3,0.9,52
163,64,MOp5,46.1,-117.4,0.4,0.83,42
192,135,MOp5,54.1,-137.6,0.4,0.9,42
255,185,MOp5,67.1,-188.2,0.4,0.47,42
149,657,MOp5,38.4,-110.2,0.3,0.7,50
198,923,MOp5,41.3,-156.5,0.3,0.43,44
105,124,MOp5,30.3,-75.1,0.4,1.1,29
168,1084,MOp6a,36.3,-131.3,0.3,0.6,37
95,148,MOp6a,28,-67.2,0.4,0.7,44
69,1916,MOp6a,24.4,-44.8,0.5,0.83,24
105,363,MOp6a,29.5,-75.4,0.4,0.77,49
60,1754,MOp6a,18.7,-41.8,0.4,0.97,29
87,823,MOp6a,23.7,-63.6,0.4,0.77,23
222,5151,AId6a,65.5,-156,0.4,0.23,60
323,75,MOp6a,104,-218.9,0.5,0.23,72
201,154,MOp6a,61.6,-139.4,0.4,0.7,34
122,336,MOp6a,39.6,-82.6,0.5,0.8,33
372,12464,MOp6a,110,-262.4,0.4,0.2,48
166,777,AIv6a,53.3,-112.4,0.5,0.2,40
54,431,AIv6a,13.2,-40.9,0.3,0.6,21
172,1381,AIv6a,51.7,-120,0.4,0.8,55
227,530,AIv6a,65.6,-161.3,0.4,0.2,45
155,343,AIv6a,36.6,-118.2,0.3,0.23,38
258,191,AIv6a,59.8,-198.4,0.3,0.53,71
196,333,AIv6a,59.5,-136.2,0.4,0.6,74
214,509,AIv6a,79.2,-134.9,0.6,0.5,45
288,127,AIv6a,64.8,-223.1,0.3,0.57,78
261,3008,AIv6a,88.6,-172.6,0.5,0.37,56
183,3164,AIv6a,52.1,-131.1,0.4,0.67,67
223,1591,AIv6a,70.3,-152.3,0.5,0.57,73
208,463,AId6a,30.5,-177.7,0.2,0.6,42
120,5413,AId6a,40.1,-80.2,0.5,0.7,50
451,1962,AId6a,155,-296.3,0.5,0.2,71
412,412,AId6a,154.5,-258,0.6,0.2,53
152,792,AIv6a,55.9,-96.5,0.6,0.7,42
88,335,AIv6a,33,-54.9,0.6,0.53,48
117,232,ORBl5,33.4,-83.9,0.4,0.97,62
86,155,ORBl5,26.9,-59,0.5,0.37,29
93,4304,ORBl5,36.7,-56.3,0.7,0.9,13
121,5978,ORBl5,45.6,-75.8,0.6,0.63,37
67,71,ORBl5,18.6,-48.2,0.4,0.53,9
137,120,ORBl5,69.7,-67.7,1,0.7,30
