Amplitude,Spike Count,Area,Peak (uV),Trough (uV),PTratio,Duration (ms),Footprint
76,6256,MOp2/3,18.9,-56.8,0.3,0.9,28
54,7367,MOp2/3,18.1,-36,0.5,0.9,16
103,3465,MOp2/3,32.2,-70.7,0.5,0.8,39
110,2368,MOp2/3,31,-79.2,0.4,0.27,27
149,503,MOp2/3,42.1,-107.4,0.4,0.9,55
228,2924,MOp2/3,69.3,-159.1,0.4,0.83,58
83,5241,MOp2/3,22.3,-61,0.4,0.77,56
40,4531,MOp5,12.8,-26.8,0.5,0.93,9
97,828,MOp2/3,27.4,-70,0.4,0.77,44
46,10866,MOp2/3,14.5,-31.2,0.5,1,9
71,381,MOp2/3,24.6,-46.6,0.5,0.73,60
79,4522,MOp2/3,19.9,-59.1,0.3,0.87,62
52,8330,MOp2/3,16.1,-35.7,0.5,0.97,23
78,1570,MOp2/3,25.2,-52.8,0.5,0.6,57
64,992,MOp2/3,24,-40.3,0.6,0.63,42
222,352,MOp2/3,57.5,-164,0.4,0.93,63
82,1189,MOp2/3,24.6,-57.8,0.4,0.67,44
100,4929,MOp5,23,-76.8,0.3,0.27,11
462,2211,MOp5,129.3,-332.3,0.4,0.7,70
534,114,MOp5,135.4,-398.3,0.3,0.7,72
89,35206,MOp5,20.7,-68.1,0.3,0.67,25
364,74,MOp5,113.6,-250,0.5,0.3,51
322,1659,MOp5,92.6,-229.1,0.4,0.33,51
315,1888,MOp5,99.5,-215.6,0.5,0.3,49
92,422,MOp5,25.6,-66.3,0.4,0.83,49
120,538,MOp5,41.8,-78.4,0.5,0.7,40
95,1298,MOp5,21.6,-73.7,0.3,0.63,62
181,653,MOp5,44.9,-136.2,0.3,0.67,68
87,9214,MOp5,21.2,-65.5,0.3,1.2,35
176,5227,MOp5,61.5,-114.3,0.5,0.67,63
97,1523,MOp5,33.8,-62.8,0.5,0.83,25
119,1204,MOp5,35.4,-83.1,0.4,0.7,62
108,4932,MOp5,35.4,-72.7,0.5,0.77,120
216,2256,MOp5,76.9,-139,0.6,0.53,83
135,1786,MOp5,45.1,-89.5,0.5,0.63,34
176,494,MOp5,41.9,-133.9,0.3,0.57,77
115,1242,MOp5,36.1,-78.5,0.5,0.77,46
164,2355,MOp5,52.3,-111.7,0.5,0.67,51
94,548,MOp5,81.4,-13.1,6.2,0.23,11
159,2070,MOp5,38.3,-121,0.3,0.33,8
125,4515,MOp5,31.2,-93.9,0.3,0.27,8
273,1429,MOp5,52.3,-220.4,0.2,0.67,51
426,463,MOp5,72.1,-354.2,0.2,0.5,50
528,228,MOp5,87,-440.7,0.2,0.43,49
142,1886,MOp5,36.1,-105.8,0.3,0.57,51
75,1516,MOp5,51.7,-23.4,2.2,1.07,5
242,110,MOp5,70.5,-171.2,0.4,0.3,51
106,1616,MOp5,38.6,-66.9,0.6,0.73,35
267,4090,MOp5,75.8,-191.1,0.4,0.27,60
171,69,MOp5,31,-139.7,0.2,0.93,33
444,184,MOp5,117.1,-326.7,0.4,0.3,50
78,10406,MOp5,54.8,-23,2.4,0.7,0
56,2284,MOp5,35.8,-20.5,1.7,0.97,0
84,495,MOp5,30.9,-53.6,0.6,0.87,35
63,1048,MOp5,36.6,-26.5,1.4,1,13
72,3729,MOp5,26.2,-45.7,0.6,0.83,45
73,434,MOp5,25.5,-47.2,0.5,0.87,32
93,3039,MOp6a,22.5,-71,0.3,0.9,18
157,489,MOp6a,42.6,-114.7,0.4,0.7,42
199,618,MOp6a,63,-135.9,0.5,0.37,44
187,197,MOp6a,39.2,-147.4,0.3,0.63,33
239,2360,MOp6a,62.2,-177.3,0.4,0.8,55
165,200,MOp6a,49.9,-115.5,0.4,0.7,42
198,343,MOp6a,45.8,-152,0.3,0.3,17
76,4237,MOp6a,16.3,-59.4,0.3,1.1,32
127,2400,MOp6a,43.2,-83.8,0.5,0.8,43
87,1194,MOp6a,27.4,-59.7,0.5,0.73,45
86,3659,MOp6a,18.7,-66.9,0.3,0.57,27
82,1013,MOp6a,21.6,-60,0.4,1.1,30
67,920,MOp6a,19.1,-47.5,0.4,0.77,20
855,196,MOp6a,149.7,-705,0.2,0.8,63
103,2807,MOp6a,28.9,-73.9,0.4,0.93,36
61,4239,MOp6a,22.2,-38.8,0.6,1.17,25
80,7083,MOp6a,25.6,-54.4,0.5,1,29
76,3340,MOp6a,17.7,-57.9,0.3,0.97,28
188,607,MOp6a,56.7,-131.7,0.4,0.33,49
134,2106,MOp6a,29.5,-104.1,0.3,1.1,54
376,241,MOp6a,93.4,-282.4,0.3,0.73,63
112,1947,MOp6a,29,-83,0.3,1.37,32
177,236,MOp6a,50.7,-125.8,0.4,0.7,60
189,130,MOp6a,64.8,-124.7,0.5,0.8,49
199,269,MOp6a,53.9,-144.7,0.4,0.73,54
191,51,MOp6a,45.4,-145.5,0.3,0.7,48
118,112,MOp6a,24.6,-93.2,0.3,0.63,31
280,64,MOp6a,76.4,-203.3,0.4,0.73,58
135,128,MOp6a,41.6,-93.6,0.4,0.63,41
120,6990,MOp6a,25.9,-94.4,0.3,1.07,36
107,4615,MOp6a,33.1,-73.6,0.4,0.77,41
210,976,MOp6a,53.5,-156.8,0.3,0.73,62
311,5274,MOp6a,55.3,-255.8,0.2,0.8,44
227,650,MOp6a,71.8,-155.7,0.5,0.77,55
